date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_host,cs_uri_stem,sc_status,cs_referer,cs_user_agent,cs_uri_query,cs_cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-06-30,18:59:45,DBF316-E2,84481,171.109.48.199,HEAD,d8bnainxtot1t.cloudfront.net,blog,200,http://chen-rogers.com/explore/searchprivacy.html,Mozilla/5.0 (Android 2.3.3; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0,author,687704ad2de59106f4b8e4ea774add45,Error,8aea15d5-164d-4774-8baf-68d8d0bd75b1,archivesnationales-ht.com,HTTPS,1340,2.342,91.8.31.28,TLSv1.2,AES256-GCM-SHA384,LimitExceeded,HTTP/2.0,,nan,27964,0.729,Hit,application/javascript,241613,308,1854
2025-06-30,05:37:11,CEF109-E6,22015,172.245.17.129,POST,d8bnainxtot1t.cloudfront.net,explore/search,200,https://www.arellano.com/wp-contentlogin.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/20.0.831.0 Safari/535.1",main,774671c7a1e2ee30a56605db16678af1,Hit,7f880c81-9314-4a2d-8b70-60d038c4b547,archivesnationales-ht.com,HTTP,240,1.75,135.70.208.251,TLSv1.2,AES256-GCM-SHA384,Hit,HTTP/1.1,Failed,nan,37491,0.364,Miss,text/html,134074,614,
2025-06-30,18:32:50,FBD700-E4,76825,218.164.234.59,POST,d8bnainxtot1t.cloudfront.net,categories/wp-content/posts,500,http://www.franco.com/blog/wp-contentmain.php,Mozilla/5.0 (Android 2.2; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,,nan,Hit,3bd79dfa-e7b0-4a40-83fa-5dc4db44ae15,archivesnationales-ht.com,HTTPS,529,0.052,209.158.57.159,TLSv1.3,None,Hit,HTTP/2.0,Failed,nan,30392,0.738,Hit,image/jpeg,223228,460,
2025-06-30,01:51:09,BCC696-E5,80331,9.80.161.37,PUT,d8bnainxtot1t.cloudfront.net,posts/wp-content/explore,200,http://lewis.biz/tag/postshome.html,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/5.1),,nan,LimitExceeded,71c7580a-e22e-4ec5-be26-ea7c3e721171,archivesnationales-ht.com,HTTPS,532,1.235,171.90.169.76,None,ECDHE-RSA-AES128-GCM-SHA256,Miss,HTTP/1.1,Failed,nan,25482,0.595,BadGateway,image/jpeg,145070,959,
2025-06-30,05:11:45,CCF430-E9,22708,178.146.207.189,HEAD,d8bnainxtot1t.cloudfront.net,tags/tags/main,200,http://www.nelson.org/search/taglogin.php,Opera/8.96.(X11; Linux i686; id-ID) Presto/2.9.189 Version/12.00,,6179effbf578ec1aa2723c060dd3bb68,Hit,c42729d4-22d2-41a9-9c1d-7c4f1c7e79c1,archivesnationales-ht.com,HTTP,2838,0.107,220.150.230.1,TLSv1.3,None,LimitExceeded,HTTP/1.1,Failed,nan,5205,0.971,Error,text/css,225190,972,
2025-06-30,13:08:25,BCF137-E9,53708,162.168.113.160,GET,d8bnainxtot1t.cloudfront.net,tag/tags,200,https://www.sullivan-davis.biz/list/main/listcategory.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/15.0w3417.0 Mobile/76Y725 Safari/536.1",post,cab78604d45efb7518e3a968935d68b7,LimitExceeded,a1a4d0e5-f3d7-4148-96a6-81ef342f829e,archivesnationales-ht.com,HTTPS,1236,1.004,nan,None,None,LimitExceeded,HTTP/2.0,Processed,nan,13972,0.355,Hit,application/json,390017,,
2025-06-30,04:38:41,CEF936-E4,50662,179.23.46.211,DELETE,d8bnainxtot1t.cloudfront.net,categories,301,http://www.howell.info/tags/category/tagsprivacy.html,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/29.0.809.0 Safari/533.0",,nan,Error,6d418e12-2bc5-4180-baff-d81b3be97706,archivesnationales-ht.com,HTTPS,3875,1.07,41.39.212.74,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/2.0,Processed,nan,49286,0.588,BadGateway,text/html,233628,950,
2025-06-30,19:14:59,DBF753-E8,30486,213.23.4.239,HEAD,d8bnainxtot1t.cloudfront.net,categories/tags,500,http://www.harris.org/list/search/listprivacy.asp,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/58.0.818.0 Safari/534.2",,b63540a0b12f8d68fd453b6bf59b23d5,Miss,0833ccfe-0dd6-4d48-b894-7960bf86695a,archivesnationales-ht.com,HTTP,2097,0.83,173.135.34.119,TLSv1.2,AES256-GCM-SHA384,LimitExceeded,HTTP/1.1,Failed,nan,57475,0.029,Miss,application/javascript,125164,547,
2025-06-30,12:08:38,FEF678-E5,91540,12.236.72.171,HEAD,d8bnainxtot1t.cloudfront.net,posts/tag/explore,404,http://www.clay.com/postshomepage.asp,Opera/8.32.(X11; Linux i686; lv-LV) Presto/2.9.173 Version/10.00,,9538fabe66c170d622d8feed1cef4ca2,Hit,fae5d68d-0401-406b-a500-2e9cb2e67943,archivesnationales-ht.com,HTTPS,1869,0.346,175.88.210.96,TLSv1.3,None,LimitExceeded,HTTP/1.1,Processed,nan,56214,0.892,Error,image/jpeg,436007,,
2025-06-30,09:44:26,ECC993-E3,52810,100.142.185.66,PUT,d8bnainxtot1t.cloudfront.net,search/categories,200,https://scott-gonzales.net/list/wp-contenthome.asp,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),category,72b20cdae614c059429b5ef81594d569,Error,4a7e7dc5-a6cd-45ef-82ec-0d5c3a7593e7,archivesnationales-ht.com,HTTPS,833,1.183,188.196.195.8,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,Miss,HTTP/2.0,Failed,nan,16714,0.025,Miss,text/css,245877,300,1209
