x_edge_location,sc_bytes,c_ip,cs_method,cs_host,cs_uri_stem,sc_status,cs_referer,cs_user_agent,cs_uri_query,cs_cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end,timestamp
CEE816-E7,68226,209.157.86.254,POST,d8bnainxtot1t.cloudfront.net,/blog/data-virtualization-use-cases,301,http://watkins-anderson.net/app/explore/postsabout.htm,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3 rv:2.0; bn-BD) AppleWebKit/532.32.4 (KHTML, like Gecko) Version/4.1 Safari/532.32.4",,5c60c235d719cbfadc18edacc97efaaf,Miss,07dd510a-7cc9-4668-858c-74811fb8aff5,archivesnationales-ht.com,HTTPS,1102,0.029,167.87.200.159,TLSv1.2,AES256-GCM-SHA384,Error,HTTP/1.1,Failed,a,6677,0.893,Hit,text/css,296871,,,2025-07-15 06:32:50
ABB598-E1,75134,144.245.141.139,DELETE,d8bnainxtot1t.cloudfront.net,/blog/building-api-gateways-data,403,http://haynes.info/listlogin.htm,Opera/8.39.(Windows CE; ber-DZ) Presto/2.9.173 Version/12.00,,nan,Hit,9538deb4-9638-41fa-89a3-bb769415004d,archivesnationales-ht.com,HTTPS,1216,2.19,nan,TLSv1.2,None,Miss,HTTP/1.1,,nan,54708,0.288,Miss,text/css,241767,,,2025-07-15 06:12:15
BCA433-E1,71211,169.123.136.89,OPTIONS,d8bnainxtot1t.cloudfront.net,/blog/monitoring-data-pipelines,200,https://herrera-ball.com/tags/categorymain.html,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/532.39.5 (KHTML, like Gecko) Version/5.1 Safari/532.39.5",,508abf696bb984f22faa271295d1a4ab,Error,d2f6117a-f8dd-4105-9c44-898dab5b11e9,archivesnationales-ht.com,HTTPS,1240,2.316,nan,None,None,LimitExceeded,HTTP/1.1,Failed,nan,27716,0.208,Miss,text/css,478860,,1469,2025-07-15 00:40:39
CDA520-E6,96956,88.82.59.151,PUT,d8bnainxtot1t.cloudfront.net,/blog/delta-lake-apache-iceberg,200,nan,Mozilla/5.0 (Android 5.0.1; Mobile; rv:46.0) Gecko/46.0 Firefox/46.0,,f725a1a2d055bd8b55ee267809d02ad8,LimitExceeded,3ddfb966-0cd4-40a4-bd8d-184c5eda58d9,archivesnationales-ht.com,HTTPS,2893,0.749,nan,TLSv1.3,None,Error,HTTP/1.1,Failed,nan,15826,0.881,Miss,application/javascript,211092,,,2025-07-15 20:19:50
AEB984-E7,22909,7.148.242.237,POST,d8bnainxtot1t.cloudfront.net,/blog/data-virtualization-use-cases,200,http://russell.com/wp-content/app/searchlogin.asp,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5 rv:5.0; hne-IN) AppleWebKit/532.3.1 (KHTML, like Gecko) Version/5.0.4 Safari/532.3.1",about,a8a98f9e5a0a03eb22bfc97fe024b7b3,Hit,e737a498-eeb4-48c0-8498-0153659d1911,archivesnationales-ht.com,HTTPS,1714,2.095,174.194.62.150,TLSv1.2,AES256-GCM-SHA384,Miss,HTTP/2.0,Failed,nan,21375,0.993,Hit,image/jpeg,427395,,1010,2025-07-15 05:41:26
DDD837-E3,68123,207.89.226.161,PUT,d8bnainxtot1t.cloudfront.net,/blog/data-quality-checks-etl,500,http://www.gonzales-trujillo.biz/app/main/exploreauthor.html,Mozilla/5.0 (Android 10; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0,homepage,a28fede68dc0c168bd51f6f53da0a030,LimitExceeded,5f703a52-3b45-46d5-a9cb-4da2d8ef71c3,archivesnationales-ht.com,HTTPS,4774,1.617,183.121.29.30,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,LimitExceeded,HTTP/1.1,,nan,55596,0.065,Miss,application/javascript,115107,,,2025-07-15 18:09:05
CDB739-E8,66017,195.86.140.118,POST,d8bnainxtot1t.cloudfront.net,/blog/delta-lake-apache-iceberg,404,https://wallace.com/categories/exploreregister.htm,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/31.0.811.0 Safari/534.1",about,27353d9c104e79ed7d2dffd9bcac1b93,LimitExceeded,880fab5d-0752-4a13-8006-ca1328e9bd7f,archivesnationales-ht.com,HTTPS,3378,0.194,63.43.148.114,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,,nan,33691,0.529,Hit,text/css,394950,,,2025-07-15 04:56:46
ACC931-E5,10055,12.206.60.80,POST,d8bnainxtot1t.cloudfront.net,/blog/graph-databases-data-engineering,404,https://morris-taylor.com/search/tag/listhomepage.jsp,Opera/8.28.(Windows 98; Win 9x 4.90; mk-MK) Presto/2.9.188 Version/10.00,,5bcaf1f31a24a5efa288f9a9a5ed1446,Error,b29f57d7-9bba-402e-9994-5f72160a0d7c,archivesnationales-ht.com,HTTPS,1344,1.752,nan,TLSv1.2,AES256-GCM-SHA384,Hit,HTTP/1.1,Processed,nan,63061,0.091,Hit,application/javascript,303207,,,2025-07-15 08:10:41
EBD254-E5,60979,161.210.4.192,GET,d8bnainxtot1t.cloudfront.net,/blog/machine-learning-ops-mldata,200,https://www.sanders.org/search/appmain.asp,Opera/9.27.(X11; Linux x86_64; ur-IN) Presto/2.9.169 Version/11.00,faq,a2cb40e2c42d865662ed73ae7a4bf741,Error,8b75577d-13f0-4e67-be37-382b82816d3e,archivesnationales-ht.com,HTTPS,4441,0.264,nan,None,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,Processed,nan,34933,0.798,Hit,text/html,468711,825,1072,2025-07-15 16:33:43
BBE780-E6,74037,76.77.37.253,POST,d8bnainxtot1t.cloudfront.net,/blog/dataops-principles-practice,200,https://www.williams.com/categoryauthor.htm,Opera/8.98.(Windows 98; th-TH) Presto/2.9.168 Version/11.00,about,nan,Hit,f118f5c4-f56f-40cf-afff-88cdbf04e584,archivesnationales-ht.com,HTTPS,3230,1.462,195.188.60.247,None,None,Hit,HTTP/1.1,Processed,nan,48821,0.683,Miss,text/html,198692,,1398,2025-07-15 08:50:12
