date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-07,01:03:01,IAH50-C2,1074,104.210.140.134,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,OUQn-xLyIP38IA6YlF6-TQ6igRRDnvACjARdj5Rco4JqrthaJ0xK2w==,archivesnationales-ht.com,https,412,0.304,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,32426,0.304,Error,text/html,727,-,-
2025-05-07,19:59:01,DFW59-P1,1085,104.210.140.129,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,4ZDzq_HFpI94Y9LAgwMrD0QCrQFKq4G0XdZWXXl5VE8ICvu4mW7l8Q==,archivesnationales-ht.com,https,412,0.114,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,49059,0.114,Error,text/html,727,-,-
2025-05-09,04:02:03,DFW59-P1,1074,104.210.140.134,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,K_SY-5WlAi1C0WNrOrSlNDOrJUnyt9YNo-Dypwj27tGmRNghf7NU6Q==,archivesnationales-ht.com,https,412,0.210,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,60958,0.210,Error,text/html,727,-,-
2025-05-15,18:50:34,DFW59-P1,1082,104.210.140.134,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,u5lLGp6sTUrypaWpIXZs5uvUKpAmWd6hY2o5SbhzolARZKN7s-g23Q==,archivesnationales-ht.com,https,412,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,12318,0.096,Error,text/html,727,-,-
2025-05-17,02:35:43,DFW59-P1,1092,104.210.140.138,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,Y_NrBFKpUVYZex5tKYx9bIksak565CLOiiPDA2IZnMyZlD7Hit6_uw==,archivesnationales-ht.com,https,412,0.185,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,31654,0.185,Error,text/html,727,-,-
2025-05-17,18:36:31,DFW59-P1,1102,104.210.140.134,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,19EOYjsADCNyVkCFvYjVEH9Vds7wxx8IHbWm4wZpU9P8y_ogzYhnPQ==,archivesnationales-ht.com,https,412,0.088,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,36466,0.088,Error,text/html,727,-,-
2025-05-25,18:24:45,DFW59-P1,1074,104.210.140.139,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,9VN0Nnugk0hIIeqtqmtgUH7nwbsoCogJpYJstOCkSyoVedvv67s-kA==,archivesnationales-ht.com,https,412,0.193,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,10286,0.193,Error,text/html,727,-,-
2025-05-31,02:36:56,DFW59-P1,1091,104.210.140.138,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,n4rhf2edNsdxo8IPtG1x3A9F13dCSziGQGuu6XV7Lam_byH7FSuW_A==,archivesnationales-ht.com,https,412,0.202,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,47669,0.202,Error,text/html,727,-,-
2025-05-31,18:39:50,DFW59-P1,1101,104.210.140.128,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,DGoDkXFMd0st3ePrdqRHK1jox-N1BckYf06EZuNgdsAwjH2HEffvWg==,archivesnationales-ht.com,https,411,0.117,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,43673,0.116,Error,text/html,727,-,-
2025-06-01,10:39:40,DFW59-P1,1091,104.210.140.134,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.0;%20+https://openai.com/searchbot",-,-,Error,lH5RggHoAAH8FBn9dVgzWXOqCBle6Akdr2GWney6VfxhrNBmGP8MBw==,archivesnationales-ht.com,https,411,0.172,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,61549,0.172,Error,text/html,727,-,-
